[2024-05-27 11:48:20,240: INFO: pipelines: pdf to vector pipe line started]
[2024-05-27 11:48:22,615: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 11:48:25,133: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 11:48:25,698: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 11:48:25,913: INFO: pipelines: pdf to vector pipe line completed]
[2024-05-27 11:48:56,231: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 11:50:20,733: INFO: pipelines: pdf to vector pipe line started]
[2024-05-27 11:50:21,684: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 11:50:24,009: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 11:50:24,428: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 11:50:24,546: INFO: pipelines: pdf to vector pipe line completed]
[2024-05-27 11:50:42,773: INFO: _client: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"]
[2024-05-27 12:16:07,837: INFO: pipelines: pdf to vector pipe line started]
[2024-05-27 12:16:08,801: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:16:11,148: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:16:11,567: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:16:11,685: INFO: pipelines: pdf to vector pipe line completed]
[2024-05-27 12:27:14,671: INFO: app: conversation chain run started]
[2024-05-27 12:45:33,758: ERROR: pipelines: Vector stores have not been created yet. Run start_pipeline() first.]
[2024-05-27 12:46:11,605: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 12:46:12,560: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:46:16,251: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:46:16,667: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:46:16,785: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 12:46:16,785: ERROR: app: Conversation chain has not been created yet]
[2024-05-27 12:46:49,316: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 12:46:50,371: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:46:54,369: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:46:54,831: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:46:54,984: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 12:46:54,985: INFO: app: New conversation chain created]
[2024-05-27 12:47:57,608: INFO: pipelines: PDF to vector pipeline started for path: /home/muhliscm/Desktop/data_engineering/data science/pdf_chat_bot/pdf_chat_bot/Basics of Diabetes Management.pdf]
[2024-05-27 12:47:58,586: INFO: SentenceTransformer: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2]
[2024-05-27 12:48:01,137: INFO: SentenceTransformer: Use pytorch device_name: cpu]
[2024-05-27 12:48:01,558: INFO: posthog: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.]
[2024-05-27 12:48:01,682: INFO: pipelines: PDF to vector pipeline completed successfully]
[2024-05-27 12:48:01,683: INFO: app: New conversation chain created]
[2024-05-27 12:48:01,683: INFO: app: Conversation chain run started with user inputs: Describe the differences between Type 1 and Type 2 diabetes as detailed in the document]
